Fraction	Pop	freq.before	replicate	Time	evolved	well	well2	measurement	cutof	max	time	red	wt	col	row	Treatment	freq.after	Group	Ade	Structure	sample	change	freq.rat	change.nrm
T	G10	0.494164903	1	AM	TOP	G10	G10	82	3.712025598	3.8	0.021214525	629	12643	10	G	AM	0.952606992	Sym	R	Sym	7	0.45844209	1.927710744	0.906307395
T	G10	0.494164903	2	AM	TOP	G10	G10	82	3.670794452	3.8	0.022429651	1015	11251	10	G	AM	0.917250938	Sym	R	Sym	7	0.423086035	1.856163667	0.836410991
T	G10	0.494164903	5	AM	TOP	G10	G10	466	2.97099713	3.8	0.026979978	719	11768	10	G	AM	0.942420117	Sym	R	Sym	7	0.448255214	1.907096421	0.886168668
T	G11	0.716820285	4	AM	TOP	G11	G11	179	3.11598567	3.8	0.013828941	662	15112	11	G	AM	0.958032205	Sym	P	Sym	15	0.24121192	1.336502642	0.851798018
T	G11	0.716820285	5	AM	TOP	G11	G11	467	3.090797279	3.8	0.013084999	1284	17844	11	G	AM	0.932873275	Sym	P	Sym	15	0.21605299	1.301404682	0.762953624
T	G11	0.716820285	1	AM	TOP	G11	G11	83	3.654356248	3.8	0.018210674	713	14434	11	G	AM	0.952927973	Sym	P	Sym	15	0.236107688	1.329381984	0.833773307
T	G11	0.716820285	3	AM	TOP	G11	G11	83	3.601063098	3.8	0.017509445	598	14932	11	G	AM	0.961493883	Sym	P	Sym	15	0.244673598	1.341331856	0.864022332
T	G11	0.716820285	2	AM	TOP	G11	G11	83	3.662166896	3.8	0.018741508	744	15527	11	G	AM	0.954274476	Sym	P	Sym	15	0.237454191	1.331260424	0.838528251
T	G12	0.483815722	2	AM	TOP	G12	G12	84	3.799922162	3.8	0.024530199	61	7379	12	G	AM	0.991801075	Sym	R	Sym	23	0.507985353	2.049956276	0.984116284
T	G12	0.483815722	4	AM	TOP	G12	G12	180	2.473928416	3.271324274	0.025929535	278	6219	12	G	AM	0.95721102	Sym	R	Sym	23	0.473395299	1.978461999	0.917105225
T	G12	0.483815722	1	AM	TOP	G12	G12	84	3.788808684	3.8	0.020758623	181	9270	12	G	AM	0.980848587	Sym	R	Sym	23	0.497032866	2.027318549	0.96289811
T	G12	0.483815722	5	AM	TOP	G12	G12	468	2.789614283	3.253662514	0.024873325	257	8456	12	G	AM	0.970503845	Sym	R	Sym	23	0.486688123	2.005936973	0.942857316
T	G12	0.483815722	3	AM	TOP	G12	G12	84	3.799920473	3.8	0.025817011	81	7694	12	G	AM	0.989581994	Sym	R	Sym	23	0.505766272	2.04536965	0.979817273
T	G2	0.724415764	1	AM	TOP	G2	G02	74	3.307586944	3.8	0.010816587	8353	22485	2	G	AM	0.729132888	Allo	R	Allo	15	0.004717124	1.006511625	0.017116812
T	G2	0.724415764	2	AM	TOP	G2	G02	74	3.211330736	3.8	0.013582343	5388	19007	2	G	AM	0.779135069	Allo	R	Allo	15	0.054719304	1.075535772	0.198557454
T	G2	0.724415764	3	AM	TOP	G2	G02	74	3.282039313	3.674435864	0.011847244	2322	22596	2	G	AM	0.906814351	Allo	R	Allo	15	0.182398587	1.251787158	0.661861468
T	G2	0.724415764	5	AM	TOP	G2	G02	458	2.609809601	3.8	0.011305572	5354	17775	2	G	AM	0.768515716	Allo	R	Allo	15	0.044099952	1.060876577	0.160023492
T	G2	0.724415764	4	AM	TOP	G2	G02	170	2.68672206	3.8	0.009988218	6247	19633	2	G	AM	0.758616692	Allo	R	Allo	15	0.034200928	1.047211739	0.124103354
T	G3	0.759000529	2	AM	TOP	G3	G03	75	3.302080729	3.734020489	0.012249247	2555	22403	3	G	AM	0.897628015	Allo	P	Allo	23	0.138627486	1.182644782	0.575219047
T	G3	0.759000529	4	AM	TOP	G3	G03	171	3.089465546	3.8	0.008436987	4113	25411	3	G	AM	0.860689608	Allo	P	Allo	23	0.101689079	1.133977613	0.421947314
T	G3	0.759000529	3	AM	TOP	G3	G03	75	3.330394833	3.563481035	0.01201496	713	21906	3	G	AM	0.968477828	Allo	P	Allo	23	0.209477299	1.275990979	0.86920232
T	G3	0.759000529	5	AM	TOP	G3	G03	459	2.930358759	3.8	0.009557874	4207	23639	3	G	AM	0.848919055	Allo	P	Allo	23	0.089918526	1.118469648	0.373106735
T	G3	0.759000529	1	AM	TOP	G3	G03	75	3.278113988	3.624238884	0.011149569	1066	23407	3	G	AM	0.956441793	Allo	P	Allo	23	0.197441264	1.260133236	0.819260155
T	G4	0.564406962	2	AM	TOP	G4	G04	76	3.725471262	3.8	0.02775443	133	10580	4	G	AM	0.987585177	LM	R	LM	7	0.423178215	1.749774974	0.971499032
T	G4	0.564406962	5	AM	TOP	G4	G04	460	2.490556937	3.259530374	0.023015798	301	8898	4	G	AM	0.967279052	LM	R	LM	7	0.40287209	1.713797167	0.924881839
T	G4	0.564406962	4	AM	TOP	G4	G04	172	2.999877838	3.25803142	0.019081466	251	11487	4	G	AM	0.978616459	LM	R	LM	7	0.414209498	1.733884459	0.950909361
T	G4	0.564406962	1	AM	TOP	G4	G04	76	3.70318457	3.8	0.021364998	100	13030	4	G	AM	0.992383854	LM	R	LM	7	0.427976892	1.758277132	0.982515455
T	G4	0.564406962	3	AM	TOP	G4	G04	76	3.799942436	3.8	0.02129726	83	11448	4	G	AM	0.992802012	LM	R	LM	7	0.42839505	1.759018012	0.983475429
T	G5	0.684448589	4	AM	TOP	G5	G05	173	3.102772236	3.8	0.013976596	542	11729	5	G	AM	0.955830821	LM	P	LM	15	0.271382231	1.396497612	0.86002541
T	G5	0.684448589	1	AM	TOP	G5	G05	77	3.646735176	3.8	0.020413502	313	12763	5	G	AM	0.976063016	LM	P	LM	15	0.291614427	1.426057459	0.924142365
T	G5	0.684448589	5	AM	TOP	G5	G05	461	2.874808682	3.8	0.018864794	463	8402	5	G	AM	0.947772138	LM	P	LM	15	0.263323548	1.384723633	0.834486994
T	G5	0.684448589	2	AM	TOP	G5	G05	77	3.727147086	3.8	0.0268964	218	10241	5	G	AM	0.979156707	LM	P	LM	15	0.294708118	1.430577435	0.933946444
T	G5	0.684448589	3	AM	TOP	G5	G05	77	3.607775796	3.8	0.023491349	300	10457	5	G	AM	0.972111183	LM	P	LM	15	0.287662594	1.420283712	0.911618787
T	G6	0.484118944	2	AM	TOP	G6	G06	78	3.555593385	3.8	0.043791674	224	4611	6	G	AM	0.953671148	LM	R	LM	23	0.469552204	1.969910824	0.910194702
T	G6	0.484118944	5	AM	TOP	G6	G06	462	2.582279305	3.8	0.028972631	533	7167	6	G	AM	0.930779221	LM	R	LM	23	0.446660277	1.922625074	0.865820273
T	G6	0.484118944	3	AM	TOP	G6	G06	78	3.683460033	3.8	0.030390818	301	8107	6	G	AM	0.964200761	LM	R	LM	23	0.480081817	1.991660878	0.930605634
T	G6	0.484118944	1	AM	TOP	G6	G06	78	3.242480196	3.8	0.065877229	36	5996	6	G	AM	0.99403183	LM	R	LM	23	0.509912886	2.053280175	0.988431113
T	G6	0.484118944	4	AM	TOP	G6	G06	174	3.536589651	3.8	0.023636452	321	7681	6	G	AM	0.959885029	LM	R	LM	23	0.475766085	1.982746266	0.922239883
T	G7	0.607764082	2	AM	TOP	G7	G07	79	3.657716538	3.8	0.022953033	542	13219	7	G	AM	0.960613328	Para	P	Para	7	0.352849245	1.580569427	0.899584228
T	G7	0.607764082	3	AM	TOP	G7	G07	79	3.717428144	3.8	0.023777551	365	10327	7	G	AM	0.965862327	Para	P	Para	7	0.358098244	1.589206001	0.912966479
T	G7	0.607764082	4	AM	TOP	G7	G07	175	2.68654411	3.8	0.02152414	479	8240	7	G	AM	0.945062507	Para	P	Para	7	0.337298425	1.554982491	0.859937628
T	G7	0.607764082	1	AM	TOP	G7	G07	79	3.738141447	3.8	0.021441614	633	11562	7	G	AM	0.948093481	Para	P	Para	7	0.340329398	1.559969581	0.867665054
T	G7	0.607764082	5	AM	TOP	G7	G07	463	2.813822251	3.8	0.018144697	682	9269	7	G	AM	0.931464174	Para	P	Para	7	0.323700092	1.532608131	0.825268869
T	G8	0.578516903	4	AM	TOP	G8	G08	176	2.702337992	3.255758799	0.023668928	644	8239	8	G	AM	0.92750197	Para	R	Para	15	0.348985067	1.603240917	0.827993031
T	G8	0.578516903	3	AM	TOP	G8	G08	80	3.734223697	3.8	0.024297767	262	11665	8	G	AM	0.978033034	Para	R	Para	15	0.399516131	1.690586791	0.94788174
T	G8	0.578516903	5	AM	TOP	G8	G08	464	2.729185509	3.260223437	0.019538942	607	10500	8	G	AM	0.945349779	Para	R	Para	15	0.366832876	1.63409189	0.870338286
T	G8	0.578516903	2	AM	TOP	G8	G08	80	3.667746915	3.8	0.023318109	307	11831	8	G	AM	0.97470753	Para	R	Para	15	0.396190627	1.684838464	0.939991734
T	G8	0.578516903	1	AM	TOP	G8	G08	80	3.799946644	3.8	0.021351973	283	14780	8	G	AM	0.981212242	Para	R	Para	15	0.402695339	1.696082235	0.955424646
T	G9	0.481870182	5	AM	TOP	G9	G09	465	2.474950864	3.25946407	0.018289537	417	11625	9	G	AM	0.965371201	Para	P	Para	23	0.483501019	2.003384392	0.933165786
